question,category
20万到30万的车有哪些推荐的,SEARCH
我要买一辆中型SUV，最近有什么新款没有,SEARCH
你这有长安的车么？,SEARCH
我想看一辆长安的车,SEARCH
我想看辆长安的车,SEARCH
目前都有什么车在卖？,SEARCH
给我看一辆长安C15的车,SEARCH
我想看长安C15的车,SEARCH
你这有C15的车么？,SEARCH
这辆车多少钱,QUERY
多少钱,QUERY
都有什么颜色,QUERY
排量多少,QUERY
手动档还是自动档？,QUERY
最高车速是多少？,QUERY
什么类型的？,QUERY
支持自动停车功能么？,QUERY
有没有儿童安全座椅接口？,QUERY
有没有智能操作系统？,QUERY
空调的排风口在哪里？,QUERY
有没有后排空调的排风口？,QUERY
座椅的材质是什么？,QUERY
有没有侧边雷达？,QUERY
油耗是多少？,QUERY
这辆车的油耗是多少？,QUERY
质保时间有多长？,QUERY
具体有哪些型号的？,QUERY
有哪些版本的？,QUERY
这辆车的安全性怎么样？,FUZZYQUERY
各自的配置是什么样？,FUZZYQUERY
有什么安全装备？,FUZZYQUERY
内饰是什么样的？,FUZZYQUERY
问下长安C15的车现在怎么卖？,SEARCHQUERY
